learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
2,8,0,0,0.201,0.881,1,0.074310303,0.370452881,0.117553711,0,0.621800108
2,8,0,1,0.201,0.881,1,0.074310303,0.370452881,0.117553711,0,0.400958588
2,8,0,2,0.201,0.881,1,0.074310303,0.370452881,0.117553711,0,0.416155401
2,8,0,3,0.201,0.881,1,0.074310303,0.370452881,0.117553711,0,0.407009838
2,8,0,4,0.201,0.881,1,0.074310303,0.370452881,0.117553711,0,0.661771252
2,8,0,5,0.201,0.881,1,0.074310303,0.370452881,0.117553711,0,0.336370432
2,8,0,6,0.201,0.881,1,0.074310303,0.370452881,0.117553711,0,0.445970222
2,8,0,7,0.201,0.881,1,0.074310303,0.370452881,0.117553711,0,0.422806064
2,8,0,8,0.201,0.881,1,0.074310303,0.370452881,0.117553711,0,0.379609693
2,8,0,9,0.201,0.881,1,0.074310303,0.370452881,0.117553711,0,0.520467338
3,10,0,0,0.215,0.875,1,0.084777832,0.358062744,0.192657471,2,0.560900054
3,10,0,1,0.215,0.875,1,0.084777832,0.358062744,0.192657471,2,0.450479294
3,10,0,2,0.215,0.875,1,0.084777832,0.358062744,0.192657471,2,0.4580777
3,10,0,3,0.215,0.875,1,0.084777832,0.358062744,0.192657471,2,0.453504919
3,10,0,4,0.215,0.875,1,0.084777832,0.358062744,0.192657471,2,0.580885626
3,10,0,5,0.215,0.875,1,0.084777832,0.358062744,0.192657471,2,0.418185216
3,10,0,6,0.215,0.875,1,0.084777832,0.358062744,0.192657471,2,0.472985111
3,10,0,7,0.215,0.875,1,0.084777832,0.358062744,0.192657471,2,0.461403032
3,10,0,8,0.215,0.875,1,0.084777832,0.358062744,0.192657471,2,0.439804847
3,10,0,9,0.215,0.875,1,0.084777832,0.358062744,0.192657471,2,0.510233669
3,10,9,0,0.215,0.875,1,0.200622559,0.733825684,0.095611572,1,0.369444935
3,10,9,1,0.215,0.875,1,0.200622559,0.733825684,0.095611572,1,0.359380388
3,10,9,2,0.215,0.875,1,0.200622559,0.733825684,0.095611572,1,0.388263251
3,10,9,3,0.215,0.875,1,0.200622559,0.733825684,0.095611572,1,0.278891696
3,10,9,4,0.215,0.875,1,0.200622559,0.733825684,0.095611572,1,0.518069005
3,10,9,5,0.215,0.875,1,0.200622559,0.733825684,0.095611572,1,0.272373302
3,10,9,6,0.215,0.875,1,0.200622559,0.733825684,0.095611572,1,0.483854692
3,10,9,7,0.215,0.875,1,0.200622559,0.733825684,0.095611572,1,0.304914946
3,10,9,8,0.215,0.875,1,0.200622559,0.733825684,0.095611572,1,0.294066767
3,10,9,9,0.215,0.875,1,0.200622559,0.733825684,0.095611572,1,0.394355601
4,13,2,0,0.229,0.865,1,0.018615723,0.287689209,0.764587402,2,0.434722468
4,13,2,1,0.229,0.865,1,0.018615723,0.287689209,0.764587402,2,0.429690194
4,13,2,2,0.229,0.865,1,0.018615723,0.287689209,0.764587402,2,0.444131626
4,13,2,3,0.229,0.865,1,0.018615723,0.287689209,0.764587402,2,0.389445848
4,13,2,4,0.229,0.865,1,0.018615723,0.287689209,0.764587402,2,0.509034503
4,13,2,5,0.229,0.865,1,0.018615723,0.287689209,0.764587402,2,0.386186651
4,13,2,6,0.229,0.865,1,0.018615723,0.287689209,0.764587402,2,0.491927346
4,13,2,7,0.229,0.865,1,0.018615723,0.287689209,0.764587402,2,0.402457473
4,13,2,8,0.229,0.865,1,0.018615723,0.287689209,0.764587402,2,0.397033384
4,13,2,9,0.229,0.865,1,0.018615723,0.287689209,0.764587402,2,0.4471778
4,13,3,0,0.229,0.865,1,0.105651855,0.767791748,0.655761719,4,0.712036233
4,13,3,1,0.229,0.865,1,0.105651855,0.767791748,0.655761719,4,0.709549888
4,13,3,2,0.229,0.865,1,0.105651855,0.767791748,0.655761719,4,0.710350639
4,13,3,3,0.229,0.865,1,0.105651855,0.767791748,0.655761719,4,0.688160605
4,13,3,4,0.229,0.865,1,0.105651855,0.767791748,0.655761719,4,0.615921061
4,13,3,5,0.229,0.865,1,0.105651855,0.767791748,0.655761719,4,0.688471771
4,13,3,6,0.229,0.865,1,0.105651855,0.767791748,0.655761719,4,0.689252612
4,13,3,7,0.229,0.865,1,0.105651855,0.767791748,0.655761719,4,0.69705742
4,13,3,8,0.229,0.865,1,0.105651855,0.767791748,0.655761719,4,0.678305195
4,13,3,9,0.229,0.865,1,0.105651855,0.767791748,0.655761719,4,0.546904346
4,13,5,0,0.229,0.865,1,0.084228516,0.753875732,0.311920166,1,0.445013025
4,13,5,1,0.229,0.865,1,0.084228516,0.753875732,0.311920166,1,0.488915685
4,13,5,2,0.229,0.865,1,0.084228516,0.753875732,0.311920166,1,0.514399721
4,13,5,3,0.229,0.865,1,0.084228516,0.753875732,0.311920166,1,0.396219539
4,13,5,4,0.229,0.865,1,0.084228516,0.753875732,0.311920166,1,0.535586723
4,13,5,5,0.229,0.865,1,0.084228516,0.753875732,0.311920166,1,0.40751658
4,13,5,6,0.229,0.865,1,0.084228516,0.753875732,0.311920166,1,0.591988442
4,13,5,7,0.229,0.865,1,0.084228516,0.753875732,0.311920166,1,0.42274214
4,13,5,8,0.229,0.865,1,0.084228516,0.753875732,0.311920166,1,0.413316941
4,13,5,9,0.229,0.865,1,0.084228516,0.753875732,0.311920166,1,0.412690939
4,13,8,0,0.229,0.865,1,0.189727783,0.013275146,0.439971924,4,0.597735523
4,13,8,1,0.229,0.865,1,0.189727783,0.013275146,0.439971924,4,0.729058011
4,13,8,2,0.229,0.865,1,0.189727783,0.013275146,0.439971924,4,0.749535798
4,13,8,3,0.229,0.865,1,0.189727783,0.013275146,0.439971924,4,0.693681109
4,13,8,4,0.229,0.865,1,0.189727783,0.013275146,0.439971924,4,0.652107881
4,13,8,5,0.229,0.865,1,0.189727783,0.013275146,0.439971924,4,0.684057937
4,13,8,6,0.229,0.865,1,0.189727783,0.013275146,0.439971924,4,0.781939651
4,13,8,7,0.229,0.865,1,0.189727783,0.013275146,0.439971924,4,0.697523957
4,13,8,8,0.229,0.865,1,0.189727783,0.013275146,0.439971924,4,0.668244058
4,13,8,9,0.229,0.865,1,0.189727783,0.013275146,0.439971924,4,0.681504755
4,13,11,0,0.229,0.865,1,0.172485352,0.205688477,0.444396973,3,0.720076932
4,13,11,1,0.229,0.865,1,0.172485352,0.205688477,0.444396973,3,0.719143234
4,13,11,2,0.229,0.865,1,0.172485352,0.205688477,0.444396973,3,0.77216795
4,13,11,3,0.229,0.865,1,0.172485352,0.205688477,0.444396973,3,0.679327862
4,13,11,4,0.229,0.865,1,0.172485352,0.205688477,0.444396973,3,0.712463626
4,13,11,5,0.229,0.865,1,0.172485352,0.205688477,0.444396973,3,0.597430973
4,13,11,6,0.229,0.865,1,0.172485352,0.205688477,0.444396973,3,0.64245117
4,13,11,7,0.229,0.865,1,0.172485352,0.205688477,0.444396973,3,0.647191324
4,13,11,8,0.229,0.865,1,0.172485352,0.205688477,0.444396973,3,0.712860076
4,13,11,9,0.229,0.865,1,0.172485352,0.205688477,0.444396973,3,0.692465199
5,9,0,0,0.22,0.871,1,0.083618164,0.435882568,0.13571167,0,0.484809455
5,9,0,1,0.22,0.871,1,0.083618164,0.435882568,0.13571167,0,0.374971448
5,9,0,2,0.22,0.871,1,0.083618164,0.435882568,0.13571167,0,0.393748038
5,9,0,3,0.22,0.871,1,0.083618164,0.435882568,0.13571167,0,0.344092591
5,9,0,4,0.22,0.871,1,0.083618164,0.435882568,0.13571167,0,0.471917294
5,9,0,5,0.22,0.871,1,0.083618164,0.435882568,0.13571167,0,0.318415839
5,9,0,6,0.22,0.871,1,0.083618164,0.435882568,0.13571167,0,0.335280155
5,9,0,7,0.22,0.871,1,0.083618164,0.435882568,0.13571167,0,0.337442775
5,9,0,8,0.22,0.871,1,0.083618164,0.435882568,0.13571167,0,0.394844451
5,9,0,9,0.22,0.871,1,0.083618164,0.435882568,0.13571167,0,0.371073314
6,19,0,0,0.22,0.863,1,0.037536621,0.408050537,0.871276855,4,0.720012007
6,19,0,1,0.22,0.863,1,0.037536621,0.408050537,0.871276855,4,0.628236052
6,19,0,2,0.22,0.863,1,0.037536621,0.408050537,0.871276855,4,0.607277133
6,19,0,3,0.22,0.863,1,0.037536621,0.408050537,0.871276855,4,0.66536029
6,19,0,4,0.22,0.863,1,0.037536621,0.408050537,0.871276855,4,0.530350709
6,19,0,5,0.22,0.863,1,0.037536621,0.408050537,0.871276855,4,0.648925777
6,19,0,6,0.22,0.863,1,0.037536621,0.408050537,0.871276855,4,0.422915218
6,19,0,7,0.22,0.863,1,0.037536621,0.408050537,0.871276855,4,0.653979474
6,19,0,8,0.22,0.863,1,0.037536621,0.408050537,0.871276855,4,0.682702526
6,19,0,9,0.22,0.863,1,0.037536621,0.408050537,0.871276855,4,0.620711395
6,19,11,0,0.22,0.863,1,0.151184082,0.54107666,0.492218018,0,0.403567851
6,19,11,1,0.22,0.863,1,0.151184082,0.54107666,0.492218018,0,0.425001334
6,19,11,2,0.22,0.863,1,0.151184082,0.54107666,0.492218018,0,0.322122631
6,19,11,3,0.22,0.863,1,0.151184082,0.54107666,0.492218018,0,0.550747626
6,19,11,4,0.22,0.863,1,0.151184082,0.54107666,0.492218018,0,0.288588308
6,19,11,5,0.22,0.863,1,0.151184082,0.54107666,0.492218018,0,0.362412212
6,19,11,6,0.22,0.863,1,0.151184082,0.54107666,0.492218018,0,0.242807405
6,19,11,7,0.22,0.863,1,0.151184082,0.54107666,0.492218018,0,0.337018669
6,19,11,8,0.22,0.863,1,0.151184082,0.54107666,0.492218018,0,0.439402436
6,19,11,9,0.22,0.863,1,0.151184082,0.54107666,0.492218018,0,0.524600665
6,19,15,0,0.22,0.863,1,0.133056641,0.622955322,0.693786621,4,0.695409498
6,19,15,1,0.22,0.863,1,0.133056641,0.622955322,0.693786621,4,0.704413504
6,19,15,2,0.22,0.863,1,0.133056641,0.622955322,0.693786621,4,0.475158736
6,19,15,3,0.22,0.863,1,0.133056641,0.622955322,0.693786621,4,0.650850532
6,19,15,4,0.22,0.863,1,0.133056641,0.622955322,0.693786621,4,0.623729437
6,19,15,5,0.22,0.863,1,0.133056641,0.622955322,0.693786621,4,0.475727309
6,19,15,6,0.22,0.863,1,0.133056641,0.622955322,0.693786621,4,0.591646528
6,19,15,7,0.22,0.863,1,0.133056641,0.622955322,0.693786621,4,0.442175907
6,19,15,8,0.22,0.863,1,0.133056641,0.622955322,0.693786621,4,0.532239006
6,19,15,9,0.22,0.863,1,0.133056641,0.622955322,0.693786621,4,0.758479228
7,8,4,0,0.209,0.866,1,0.197174072,0.640228271,0.292266846,4,0.844066333
7,8,4,1,0.209,0.866,1,0.197174072,0.640228271,0.292266846,4,0.685079744
7,8,4,2,0.209,0.866,1,0.197174072,0.640228271,0.292266846,4,0.546130253
7,8,4,3,0.209,0.866,1,0.197174072,0.640228271,0.292266846,4,0.656647592
7,8,4,4,0.209,0.866,1,0.197174072,0.640228271,0.292266846,4,0.806495373
7,8,4,5,0.209,0.866,1,0.197174072,0.640228271,0.292266846,4,0.708062548
7,8,4,6,0.209,0.866,1,0.197174072,0.640228271,0.292266846,4,0.762044175
7,8,4,7,0.209,0.866,1,0.197174072,0.640228271,0.292266846,4,0.701211835
7,8,4,8,0.209,0.866,1,0.197174072,0.640228271,0.292266846,4,0.76085044
7,8,4,9,0.209,0.866,1,0.197174072,0.640228271,0.292266846,4,0.824687994
7,8,5,0,0.209,0.866,1,0.031066895,0.102142334,0.678466797,0,0.444425887
7,8,5,1,0.209,0.866,1,0.031066895,0.102142334,0.678466797,0,0.401789544
7,8,5,2,0.209,0.866,1,0.031066895,0.102142334,0.678466797,0,0.362662013
7,8,5,3,0.209,0.866,1,0.031066895,0.102142334,0.678466797,0,0.335009801
